time_s,Ecell_V,I_mA,QDischarge_mA_h,soc,Temperature__C
426562,4.169,0,0,1,40.506
426563,4.145501149,-982.8896552,0.262068966,0.999943656,40.506
426564,4.114212188,-2249.6003,0.846953047,0.999817909,40.506
426565,4.112059459,-2249.381682,1.487987988,0.99968009,40.22541742
426566,4.1104232,-2250.4588,2.1472,0.999538363,39.824
426567,4.109063864,-2250.235035,2.747447447,0.999409312,39.824
426568,4.1078457,-2249.587,3.3478,0.99928024,39.891319
426569,4.106787413,-2249.577622,3.988811189,0.999142425,39.987
426570,4.105828829,-2249.905105,4.647447447,0.999000822,39.987
426571,4.104928671,-2249.612587,5.247552448,0.998871802,40.17101399
426572,4.1040704,-2250.0352,5.8472,0.998742881,40.433
426573,4.1032292,-2249.6352,6.4884,0.998605026,40.433
426574,4.1023704,-2249.7708,7.1472,0.998463387,40.104636
426575,4.1016528,-2250.3824,7.7472,0.99833439,39.636
426576,4.1010528,-2250.6236,8.3472,0.998205393,39.636
426577,4.1004116,-2250.7588,8.9884,0.998067538,39.96766
426578,4.099794206,-2250.411888,9.646953047,0.997925953,40.441
426579,4.0992534,-2249.9589,10.2466,0.997797032,40.300438
426580,4.098694294,-2250.146847,10.84684685,0.997667981,40.099
426581,4.0981528,-2250.6648,11.4884,0.997530051,40.099
426582,4.0976352,-2250.7352,12.1472,0.997388412,39.98158
426583,4.0972352,-2249.882,12.7472,0.997259415,39.814
426584,4.0968352,-2249.0824,13.3472,0.997130418,39.814
426585,4.096394206,-2249.8997,13.98811189,0.996992625,40.13956643
426586,4.095935435,-2250.570871,14.64684685,0.996851,40.605
426587,4.095535365,-2250.264635,15.24695305,0.99672198,40.605
426588,4.095094294,-2250.253153,15.84684685,0.996593006,40.26517417
426589,4.0946352,-2249.8588,16.4884,0.996455075,39.779
426590,4.0942352,-2249.5116,17.1472,0.996313437,39.779
426591,4.0938352,-2249.0588,17.7472,0.99618444,39.92526
426592,4.093394,-2250.236,18.3472,0.996055443,40.134
426593,4.092935365,-2251.3003,18.98811189,0.99591765,40.134
426594,4.092576453,-2250.135271,19.64709419,0.995775972,40.23942685
426595,4.092276347,-2249.693912,20.24730539,0.995646929,40.39
426596,4.091894294,-2249.687988,20.84684685,0.995518031,40.08144144
426597,4.0914764,-2250.2236,21.4884,0.9953801,39.64
426598,4.0911764,-2250.5236,22.1472,0.995238461,39.64
426599,4.090835035,-2250.576276,22.74744745,0.995109411,39.9856016
426600,4.0905174,-2250.0696,23.3478,0.994980338,40.478
426601,4.090276347,-2250.012176,23.98852295,0.994842586,40.478
426602,4.090017718,-2250.106306,24.64684685,0.99470105,40.27188288
426603,4.0898176,-2249.4412,25.2472,0.994571977,39.977
426604,4.089535035,-2249.664965,25.84744745,0.994442926,39.977
426605,4.0891761,-2250.0239,26.4478,0.994313854,39.986499
426606,4.088917483,-2250.158741,27.08881119,0.994176039,40
426607,4.088676276,-2250.42993,27.74744745,0.994034436,40
426608,4.0883761,-2250.5283,28.3478,0.993905363,40.163548
426609,4.088076224,-2250.206294,28.98881119,0.993767549,40.396
426610,4.0877764,-2250.2116,29.6472,0.993625998,40.396
426611,4.0874764,-2250.2532,30.2472,0.993497001,40.084528
426612,4.087176276,-2250.735035,30.84744745,0.993367951,39.64
426613,4.086876224,-2250.252448,31.48881119,0.993230061,40.03154545
426614,4.0866176,-2250.0236,32.1472,0.993088511,40.589
426615,4.086376276,-2250.282482,32.74744745,0.99295946,40.589
426616,4.086076224,-2250.193706,33.34755245,0.992830441,40.18218881
426617,4.0858176,-2249.6528,33.9472,0.99270152,39.603
426618,4.0856588,-2249.3824,34.5884,0.992563665,39.603
426619,4.085476276,-2250.118619,35.24744745,0.992421973,39.97788288
426620,4.085217483,-2250.793706,35.84755245,0.992292953,40.512
426621,4.0850588,-2250.2116,36.4884,0.992155174,40.512
426622,4.084917518,-2250.006206,37.14744745,0.992013482,40.21465065
426623,4.084717483,-2250.506294,37.74755245,0.991884463,39.791
426624,4.0844764,-2250.2232,38.3472,0.991755541,39.791
426625,4.0842176,-2249.7708,38.9884,0.991617686,39.997412
426626,4.084017518,-2250.176276,39.64744745,0.991475994,40.292
426627,4.083817565,-2249.793912,40.24730539,0.991347028,40.292
426628,4.083576453,-2249.788277,40.84709419,0.991218076,40.20510521
426629,4.0833174,-2250.7369,41.4891,0.991080048,40.081
426630,4.0830761,-2250.8805,42.1478,0.990938431,40.081
426631,4.082817483,-2249.834965,42.74755245,0.990809487,40.00425874
426632,4.0826176,-2250.1768,43.3472,0.990680566,39.895
426633,4.082417518,-2250.67007,43.98868869,0.990542649,40.14987087
426634,4.0822174,-2250.3239,44.6478,0.990400943,40.513
426635,4.082017483,-2249.674825,45.24755245,0.990272,40.513
426636,4.0818588,-2249.6948,45.8472,0.990143078,40.175984
426637,4.081676276,-2250.863864,46.48868869,0.990005161,39.695
426638,4.0814587,-2250.1,47.1478,0.989863456,39.695
426639,4.081358741,-2249.976224,47.74755245,0.989734512,39.99206294
426640,4.0812588,-2249.6764,48.3472,0.989605591,40.415
426641,4.0811176,-2250.0768,48.9884,0.989467736,40.415
426642,4.0809176,-2250.3644,49.6472,0.989326097,40.258852
426643,4.0807176,-2249.7648,50.2472,0.9891971,40.036
426644,4.0805176,-2250.2884,50.8472,0.989068103,40.036
426645,4.0803588,-2250.6176,51.4472,0.988939106,39.95772
426646,4.080217518,-2250.664965,52.08868869,0.988801189,39.846
426647,4.0800174,-2250.6109,52.7478,0.988659483,39.846
426648,4.079776224,-2250.282517,53.34755245,0.98853054,40.12944755
426649,4.0795176,-2250.1116,53.9884,0.98839276,40.533
426650,4.0793176,-2249.9884,54.6472,0.988251122,40.240068
426651,4.0791588,-2250.6472,55.2472,0.988122125,39.822
426652,4.0790588,-2250.6292,55.8472,0.987993128,39.822
426653,4.0789176,-2250.512,56.4472,0.987864131,39.889156
426654,4.0787176,-2250.5644,57.0884,0.987726276,39.985
426655,4.0785176,-2250.0472,57.7472,0.987584637,39.985
426656,4.0783176,-2250.2352,58.3472,0.98745564,40.235084
426657,4.0781588,-2249.7528,58.9472,0.987326643,40.591588
426658,4.0781,-2249.812,59.5884,0.987188788,40.591412
426659,4.0780588,-2250.5648,60.2472,0.987047149,40.25828
426660,4.0779176,-2250.4704,60.8472,0.986918152,39.782
426661,4.0777176,-2249.6292,61.4884,0.986780297,39.782
426662,4.0775588,-2249.3472,62.106,0.986647517,39.884588
426663,4.0774176,-2250.0708,62.6884,0.986522303,40.031
426664,4.077258841,-2250.6,63.34695305,0.986380718,40.031
426665,4.077117718,-2250.723423,63.94684685,0.986251744,40.23876276
426666,4.0768764,-2250.9,64.5472,0.986122671,40.536
426667,4.076658759,-2250.57007,65.18868869,0.985984754,40.24236236
426668,4.076517483,-2250.388811,65.84755245,0.985843101,39.824
426669,4.0763588,-2250.182,66.4884,0.985705322,39.824
426670,4.0762588,-2249.712,67.1472,0.985563683,39.87962
426671,4.0760764,-2250.0528,67.7472,0.985434686,39.959
426672,4.0758588,-2249.4528,68.3472,0.985305689,39.959
426673,4.0757588,-2249.4296,68.9884,0.985167834,40.216912
426674,4.0756176,-2250.3532,69.6472,0.985026196,40.585
426675,4.075458759,-2250.587588,70.24744745,0.984897146,40.585
426676,4.0753587,-2249.587,70.8478,0.984768073,40.256665
426677,4.0753,-2249.536364,71.48881119,0.984630258,39.79
426678,4.0752588,-2249.8468,72.1472,0.984488708,39.79
426679,4.0751176,-2249.0352,72.7472,0.984359711,39.910716
426680,4.074958841,-2249.17043,73.34695305,0.984230767,40.083
426681,4.074817635,-2249.617635,73.94709419,0.98410174,40.083
426682,4.074658741,-2249.953846,74.58881119,0.983963774,40.25958741
426683,4.074558759,-2250.022623,75.24744745,0.98382217,40.511
426684,4.0744174,-2249.0761,75.8478,0.983693097,40.187621
426685,4.074217483,-2248.817483,76.48881119,0.983555283,39.728
426686,4.0740176,-2249.2356,77.1472,0.983413733,39.728
426687,4.0738588,-2249.7528,77.7472,0.983284736,39.9546
426688,4.073717518,-2250.05986,78.34744745,0.983155685,40.278
426689,4.0735174,-2250.4218,78.9891,0.983017733,40.278
426690,4.073358741,-2250.012587,79.64755245,0.982876169,40.31100699
426691,4.073258759,-2249.94014,80.24744745,0.982747195,40.358
426692,4.0731587,-2249.2065,80.8478,0.982618122,40.358
426693,4.0730587,-2249.4174,81.4478,0.982489125,40.108135
426694,4.0729587,-2249.4239,82.0891,0.982351249,39.753
426695,4.0728587,-2250.013,82.7478,0.982209631,39.753
426696,4.0728,-2250.352448,83.34755245,0.982080688,40.07193007
426697,4.072758759,-2249.958759,83.98868869,0.981942846,40.526
426698,4.072617483,-2249.611189,84.64755245,0.981801194,40.526
426699,4.0724588,-2249.6532,85.2472,0.981672273,40.336892
426700,4.072317518,-2250.093794,85.84744745,0.981543223,40.06658759
426701,4.0721587,-2249.7174,86.4478,0.98141415,40.066
426702,4.0720587,-2249.8891,87.0891,0.981276273,39.965641
426703,4.071917483,-2250.712587,87.74755245,0.981134709,39.823
426704,4.0717588,-2250.8468,88.3472,0.981005788,40.129528
426705,4.0715764,-2250.1588,88.9884,0.980867933,40.567
426706,4.0713588,-2250.3472,89.6472,0.980726294,40.567
426707,4.071258759,-2250.7,90.24744745,0.980597244,40.32367668
426708,4.071158741,-2250.452448,90.84755245,0.980468225,39.977
426709,4.0710588,-2250.0588,91.4472,0.980339303,39.977
426710,4.070958759,-2249.835035,92.08868869,0.980201386,39.93410911
426711,4.0708174,-2250.4673,92.7478,0.980059681,39.873
426712,4.0706587,-2250.9979,93.3478,0.979930684,39.873
426713,4.070558741,-2250.247552,93.98881119,0.979792869,40.15768531
426714,4.0705,-2250.2704,94.6472,0.979651319,40.563
426715,4.0704588,-2250.1708,95.2472,0.979522322,40.563
426716,4.0704,-2250.4528,95.8472,0.979393325,40.305088
426717,4.070317682,-2250.429271,96.44695305,0.979264381,39.937
426718,4.070158859,-2250.776577,97.08798799,0.979126562,39.937
426719,4.0700588,-2250.0232,97.7472,0.978984834,39.935352
426720,4.0699176,-2249.7356,98.3472,0.978855837,39.933
426721,4.0698,-2250.3352,98.9884,0.978717983,40.201624
426722,4.0697176,-2250.306,99.6472,0.978576344,40.585
426723,4.069517682,-2250.805794,100.246953,0.9784474,40.585
426724,4.069317718,-2250.359459,100.8468468,0.978318426,40.32334234
426725,4.0691588,-2249.7944,101.4884,0.978180495,39.949
426726,4.0691,-2250.211888,102.146953,0.978038909,39.949
426727,4.069017718,-2249.841141,102.7468468,0.977909935,40.00083784
426728,4.0688588,-2249.5704,103.3472,0.977780862,40.075
426729,4.0687588,-2249.5944,103.9884,0.977643007,40.075
426730,4.0686588,-2250.1764,104.6472,0.977501368,40.264932
426731,4.068517682,-2250.205794,105.246953,0.977372425,40.536
426732,4.068441141,-2250.5,105.8468468,0.97724345,40.536
426733,4.068458759,-2250.293794,106.4886887,0.977105458,40.1673033
426734,4.068358741,-2249.876224,107.1475524,0.976963805,39.642
426735,4.0682588,-2249.9884,107.7472,0.976834884,39.642
426736,4.068158841,-2250.235365,108.346953,0.97670594,39.91405994
426737,4.0680589,-2249.8767,108.9877,0.976568182,40.303
426738,4.067958818,-2249.617635,109.6470942,0.976426416,40.28364429
426739,4.0678587,-2250.0782,110.2478,0.976297267,40.256
426740,4.0677174,-2250.3218,110.8478,0.97616827,40.256
426741,4.067558782,-2249.458782,111.488523,0.976030518,40.04579042
426742,4.067376453,-2249.811824,112.1470942,0.975888928,39.746
426743,4.0672,-2250.1935,112.7478,0.975759779,39.746
426744,4.0671587,-2250.1891,113.3478,0.975630782,40.089203
426745,4.067058741,-2250.434965,113.9475524,0.975501839,40.577
426746,4.066958759,-2249.911311,114.5886887,0.975363997,40.577
426747,4.0668587,-2249.5413,115.2478,0.975222292,40.309376
426748,4.066758741,-2249.847552,115.8475524,0.975093348,39.929
426749,4.066658841,-2250.323477,116.4881119,0.974955631,39.929
426750,4.066517635,-2250.788277,117.1470942,0.974813953,39.98583166
426751,4.066441259,-2251.406294,117.7475524,0.974684857,40.067
426752,4.066458759,-2250.957658,118.3474474,0.974555883,40.067
426753,4.0663587,-2249.6935,118.9891,0.974417931,40.226418
426754,4.0662587,-2249.3587,119.6478,0.974276314,40.453
426755,4.0662,-2249.753846,120.2475524,0.97414737,40.14974825
426756,4.066117518,-2249.905105,120.8474474,0.974018395,39.718
426757,4.065958782,-2249.447305,121.488523,0.973880567,39.718
426758,4.065858818,-2249.758818,122.1470942,0.973738978,40.05487174
426759,4.065758741,-2249.617483,122.7475524,0.973609882,40.536
426760,4.065617518,-2249.994895,123.3474474,0.973480908,40.536
426761,4.065458741,-2250.081119,123.9888112,0.973343018,40.35652448
426762,4.0653176,-2249.3648,124.6472,0.973201467,40.101
426763,4.0651588,-2249.6412,125.2472,0.97307247,40.101
426764,4.0651,-2249.7,125.8472,0.972943473,40.036728
426765,4.065017518,-2249.988689,126.4886887,0.972805556,39.945
426766,4.0649,-2250.2761,127.1478,0.972663851,39.945
426767,4.064858741,-2249.687413,127.7475524,0.972534907,40.21648252
426768,4.064758759,-2249.75986,128.3474474,0.972405932,40.603
426769,4.064658741,-2250.576224,128.9888112,0.972268042,40.603
426770,4.0646,-2250.4,129.6474474,0.972126439,40.27224525
